"type"," text " 
"ham"," Got   c ...   I   lazy   to   type ...   I   forgot   ü   in   lect ...   I   saw   a   pouch   but   like   not   v   nice ... " 

"ham"," K
"ham"," Sir
"ham"," A   swt   thought :   " " Nver   get   tired   of   doing   little   things   4   lovable   persons .. " "   Coz .. somtimes   those   little   things   occupy   d   biggest   part   in   their   Hearts ..   Gud   ni8 " 

"ham"," I   know   you   are .   Can   you   pls   open   the   back ? " 

"ham"," Yes   see   ya   not   on   the   dot " 

"ham"," Whats   the   staff   name   who   is   taking   class   for   us ? " 

"spam"," FreeMsg   Why   haven ' t   you   replied   to   my   text ?   I ' m   Randy
"ham"," Ummma . will   call   after   check   in . our   life   will   begin   from   qatar   so   pls   pray   very   hard . " 

"ham"," K .. i   deleted   my   contact   that   why ? " 

"ham"," Sindu   got   job   in   birla   soft   .. " 

"ham"," The   wine   is   flowing   and   i ' m   i   have   nevering .. " 

"ham"," Yup   i   thk   cine   is   better   cos   no   need   2   go   down   2   plaza   mah . " 

"ham"," Ok ...   Ur   typical   reply ... " 

"ham"," As   per   your   request   ' Melle   Melle   ( Oru   Minnaminunginte   Nurungu   Vettam ) '   has   been   set   as   your   callertune   for   all   Callers .   Press   * 9   to   copy   your   friends   Callertune " 

"ham"," You   are   everywhere   dirt
"ham"," Aaooooright   are   you   at   work ? " 

"ham"," I ' m   leaving   my   house   now ... " 

"ham"," Hello
"spam"," Customer   service   annoncement .   You   have   a   New   Years   delivery   waiting   for   you .   Please   call   07046744435   now   to   arrange   delivery " 

"spam"," You   are   a   winner   U   have   been   specially   selected   2   receive   £ 1000   cash   or   a   4 *   holiday   ( flights   inc )   speak   to   a   live   operator   2   claim   0871277810810 " 

"ham"," Keep   yourself   safe   for   me   because   I   need   you   and   I   miss   you   already   and   I   envy   everyone   that   see ' s   you   in   real   life " 

"ham"," New   car   and   house   for   my   parents . : ) i   have   only   new   job   in   hand : ) " 

"ham"," I ' m   so   in   love   with   you .   I ' m   excited   each   day   i   spend   with   you .   You   make   me   so   happy . " 

"spam"," - PLS   STOP   bootydelious   ( 32 / F )   is   inviting   you   to   be   her   friend .   Reply   YES - 434   or   NO - 434   See   her :   www . SMS . ac / u / bootydelious   STOP ?   Send   STOP   FRND   to   62468 " 

"spam"," BangBabes   Ur   order   is   on   the   way .   U   SHOULD   receive   a   Service   Msg   2   download   UR   content .   If   U   do   not
"ham"," I   place   all   ur   points   on   e   cultures   module   already . " 

"spam"," URGENT !   We   are   trying   to   contact   you .   Last   weekends   draw   shows   that   you   have   won   a   £ 900   prize   GUARANTEED .   Call   09061701939.   Claim   code   S89 .   Valid   12 hrs   only " 

"ham"," Hi   frnd
"ham"," Great   escape .   I   fancy   the   bridge   but   needs   her   lager .   See   you   tomo " 

"ham"," Yes   : ) it   completely   in   out   of   form : ) clark   also   utter   waste . " 

"ham"," Sir
"ham"," Hmmm ..   Thk   sure   got   time   to   hop   ard ...   Ya
"ham"," What   time   you   coming   down   later ? " 

"ham"," Bloody   hell
"ham"," Well
"ham"," Let   me   know   when   you ' ve   got   the   money   so   carlos   can   make   the   call " 

"ham"," U   still   going   to   the   mall ? " 

"ham"," Turns   out   my   friends   are   staying   for   the   whole   show   and   won ' t   be   back   til   ~   & lt ; #& gt ;  
"ham"," Text   her .   If   she   doesnt   reply   let   me   know   so   i   can   have   her   log   in " 

"ham"," Hi !   You   just   spoke   to   MANEESHA   V .   We ' d   like   to   know   if   you   were   satisfied   with   the   experience .   Reply   Toll   Free   with   Yes   or   No . " 

"ham"," You   lifted   my   hopes   with   the   offer   of   money .   I   am   in   need .   Especially   when   the   end   of   the   month   approaches   and   it   hurts   my   studying .   Anyways   have   a   gr8   weekend " 

"ham"," Lol   no .   U   can   trust   me . " 

"ham"," ok .   I   am   a   gentleman   and   will   treat   you   with   dignity   and   respect . " 

"ham"," He   will
"ham"," Going   on   nothing   great . bye " 

"ham"," Hello   handsome   !   Are   you   finding   that   job   ?   Not   being   lazy   ?   Working   towards   getting   back   that   net   for   mummy   ?   Where ' s   my   boytoy   now   ?   Does   he   miss   me   ? " 

"ham"," Haha   awesome
"spam"," Please   call   our   customer   service   representative   on   FREEPHONE   0808   145   4742   between   9 am - 11 pm   as   you   have   WON   a   guaranteed   £ 1000   cash   or   £ 5000   prize ! " 

"ham"," Have   you   got   Xmas   radio   times .   If   not   i   will   get   it   now " 

"ham"," I   jus   reached   home .   I   go   bathe   first .   But   my   sis   using   net   tell   u   when   she   finishes   k ... " 

"spam"," Are   you   unique   enough ?   Find   out   from   30 th   August .   www . areyouunique . co . uk " 

"ham"," I ' m   sorry .   I ' ve   joined   the   league   of   people   that   dont   keep   in   touch .   You   mean   a   great   deal   to   me .   You   have   been   a   friend   at   all   times   even   at   great   personal   cost .   Do   have   a   great   week . | " 

"ham"," Hi   : ) finally   i   completed   the   course : ) " 

"ham"," It   will   stop   on   itself .   I   however   suggest   she   stays   with   someone   that   will   be   able   to   give   ors   for   every   stool . " 

"ham"," How   are   you   doing ?   Hope   you ' ve   settled   in   for   the   new   school   year .   Just   wishin   you   a   gr8   day " 

"ham"," Gud   mrng   dear   hav   a   nice   day " 

"ham"," Did   u   got   that   persons   story " 

"ham"," is   your   hamster   dead ?   Hey   so   tmr   i   meet   you   at   1 pm   orchard   mrt ? " 

"ham"," Hi   its   Kate   how   is   your   evening ?   I   hope   i   can   see   you   tomorrow   for   a   bit   but   i   have   to   bloody   babyjontet !   Txt   back   if   u   can .   : )   xxx " 

"ham"," Found   it
"ham"," I   sent   you     & lt ; #& gt ;     bucks " 

"ham"," Hello   darlin   ive   finished   college   now   so   txt   me   when   u   finish   if   u   can   love   Kate   xxx " 

"ham"," Your   account   has   been   refilled   successfully   by   INR     & lt ; DECIMAL & gt ;   .   Your   KeralaCircle   prepaid   account   balance   is   Rs     & lt ; DECIMAL & gt ;   .   Your   Transaction   ID   is   KR   & lt ; #& gt ;   . " 

"ham"," Goodmorning   sleeping   ga . " 

"ham"," U   call   me   alter   at   11   ok . " 

"ham"," Ü   say   until   like   dat   i   dun   buy   ericsson   oso   cannot   oredi   lar ... " 

"ham"," As   I   entered   my   cabin   my   PA   said
"ham"," Aight   yo
"ham"," You   please   give   us   connection   today   itself   before     & lt ; DECIMAL & gt ;     or   refund   the   bill " 

"ham"," Both   : )   i   shoot   big   loads   so   get   ready ! " 

"ham"," What ' s   up   bruv
"ham"," Home   so   we   can   always   chat " 

"ham"," K : ) k : ) good : ) study   well . " 

"ham"," Yup ...   How   ü   noe   leh ... " 

"ham"," Sounds   great !   Are   you   home   now ? " 

"ham"," Finally   the   match   heading   towards   draw   as   your   prediction . " 

"ham"," Tired .   I   haven ' t   slept   well   the   past   few   nights . " 

"ham"," Easy   ah ? sen   got   selected   means   its   good .. " 

"ham"," I   have   to   take   exam   with   march   3 " 

"ham"," Yeah   you   should .   I   think   you   can   use   your   gt   atm   now   to   register .   Not   sure   but   if   there ' s   anyway   i   can   help   let   me   know .   But   when   you   do   be   sure   you   are   ready . " 

"ham"," Ok   no   prob .   Take   ur   time . " 

"ham"," There   is   os   called   ubandu   which   will   run   without   installing   in   hard   disk ... you   can   use   that   os   to   copy   the   important   files   in   system   and   give   it   to   repair   shop .. " 

"ham"," Sorry
"ham"," U   say   leh ...   Of   course   nothing   happen   lar .   Not   say   v   romantic   jus   a   bit   only   lor .   I   thk   e   nite   scenery   not   so   nice   leh . " 

"spam"," 500   New   Mobiles   from   2004
"ham"," Would   really   appreciate   if   you   call   me .   Just   need   someone   to   talk   to . " 

"spam"," Will   u   meet   ur   dream   partner   soon ?   Is   ur   career   off   2   a   flyng   start ?   2   find   out   free
"ham"," Hey   company   elama   po   mudyadhu . " 

"ham"," Life   is   more   strict   than   teacher ...   Bcoz   Teacher   teaches   lesson   & amp ;   then   conducts   exam
"ham"," Dear   good   morning   now   only   i   am   up " 

"ham"," Get   down   in   gandhipuram   and   walk   to   cross   cut   road .   Right   side   & lt ; #& gt ;   street   road   and   turn   at   first   right . " 

"ham"," Dear   we   are   going   to   our   rubber   place " 

"ham"," Sorry   battery   died
"ham"," Yes : ) here   tv   is   always   available   in   work   place .. " 

"spam"," Text   &   meet   someone   sexy   today .   U   can   find   a   date   or   even   flirt   its   up   to   U .   Join   4   just   10 p .   REPLY   with   NAME   &   AGE   eg   Sam   25.   18   - msg   recd @ thirtyeight   pence " 

"ham"," I   have   printed   it   oh .   So     & lt ; #& gt ;     come   upstairs " 

"ham"," Or   ill   be   a   little   closer   like   at   the   bus   stop   on   the   same   street " 

"ham"," Where   are   you ? when   wil   you   reach   here ? " 

"ham"," New   Theory :   Argument   wins   d   SITUATION
"spam"," U   447801259231   have   a   secret   admirer   who   is   looking   2   make   contact   with   U - find   out   who   they   R * reveal   who   thinks   UR   so   special - call   on   09058094597 " 

"ham"," Tomarrow   final   hearing   on   my   laptop   case   so   i   cant . " 

"ham"," PLEASSSSSSSEEEEEE   TEL   ME   V   AVENT   DONE   SPORTSx " 

"ham"," Okay .   No   no
"ham"," Although   i   told   u   dat   i ' m   into   baig   face   watches   now   but   i   really   like   e   watch   u   gave   cos   it ' s   fr   u .   Thanx   4   everything   dat   u ' ve   done   today
"ham"," U   don ' t   remember   that   old   commercial ? " 

"ham"," Too   late .   I   said   i   have   the   website .   I   didn ' t   i   have   or   dont   have   the   slippers " 

"ham"," I   asked   you   to   call   him   now   ok " 

"ham"," Kallis   wont   bat   in   2 nd   innings . " 

"ham"," It   didnt   work   again   oh .   Ok   goodnight   then .   I . ll   fix   and   have   it   ready   by   the   time   you   wake   up .   You   are   very   dearly   missed   have   a   good   night   sleep . " 

"spam"," Congratulations   ur   awarded   500   of   CD   vouchers   or   125 gift   guaranteed   &   Free   entry   2   100   wkly   draw   txt   MUSIC   to   87066   TnCs   www . Ldew . com1win150ppmx3age16 " 

"ham"," Ranjith   cal   drpd   Deeraj   and   deepak   5 min   hold " 

"ham"," Wen   ur   lovable   bcums   angry   wid   u
"ham"," What   you   doing ? how   are   you ? " 

"ham"," Ups   which   is   3 days   also
"ham"," I ' m   back
"ham"," Don ' t   necessarily   expect   it   to   be   done   before   you   get   back   though   because   I ' m   just   now   headin   out " 

"ham"," Mmm   so   yummy   babe   ...   Nice   jolt   to   the   suzy " 

"ham"," Where   are   you   lover   ?   I   need   you   ... " 

"spam"," We   tried   to   contact   you   re   your   reply   to   our   offer   of   a   Video   Handset ?   750   anytime   networks   mins ?   UNLIMITED   TEXT ?   Camcorder ?   Reply   or   call   08000930705   NOW " 

"ham"," I ‘ m   parked   next   to   a   MINI ! ! ! !   When   are   you   coming   in   today   do   you   think ? " 

"ham"," Yup " 

"ham"," Anyway   i ' m   going   shopping   on   my   own   now .   Cos   my   sis   not   done   yet .   Dun   disturb   u   liao . " 

"ham"," MY   NO .   IN   LUTON   0125698789   RING   ME   IF   UR   AROUND !   H * " 

"spam"," Hey   I   am   really   horny   want   to   chat   or   see   me   naked   text   hot   to   69698   text   charged   at   150 pm   to   unsubscribe   text   stop   69698 " 

"ham"," Why   you   Dint   come   with   us . " 

"ham"," Same .   Wana   plan   a   trip   sometme   then " 

"ham"," Not   sure   yet
"spam"," Ur   ringtone   service   has   changed !   25   Free   credits !   Go   to   club4mobiles . com   to   choose   content   now !   Stop ?   txt   CLUB   STOP   to   87070.   150 p / wk   Club4   PO   Box1146   MK45   2 WT " 

"ham"," The   evo .   I   just   had   to   download   flash .   Jealous ? " 

"spam"," Ringtone   Club :   Get   the   UK   singles   chart   on   your   mobile   each   week   and   choose   any   top   quality   ringtone !   This   message   is   free   of   charge . " 

"ham"," Come   to   mu
"ham"," Night   has   ended   for   another   day
"spam"," HMV   BONUS   SPECIAL   500   pounds   of   genuine   HMV   vouchers   to   be   won .   Just   answer   4   easy   questions .   Play   Now !   Send   HMV   to   86688   More   info : www .100 percent - real . com " 

"ham"," Usf   I   guess
"ham"," No   objection .   My   bf   not   coming . " 

"ham"," Thanx ... " 

"ham"," Tell   rob   to   mack   his   gf   in   the   theater " 

"ham"," Awesome
"ham"," Just   sent   it .   So   what   type   of   food   do   you   like ? " 

"ham"," All   done ?   All   handed   in ?   Celebrations   in   full   swing   yet ? " 

"ham"," You   got   called   a   tool ? " 

"ham"," " " Wen   u   miss   someone
"ham"," Ok .   I   asked   for   money   how   far " 

"ham"," Okie ... " 

"ham"," Yeah   I   think   my   usual   guy ' s   still   passed   out   from   last   night
"ham"," K
"ham"," Ok .. " 

"ham"," hi   baby   im   cruisin   with   my   girl   friend   what   r   u   up   2 ?   give   me   a   call   in   and   hour   at   home   if   thats   alright   or   fone   me   on   this   fone   now   love   jenny   xxx " 

"ham"," My   life   Means   a   lot   to   me
"ham"," Dear
"ham"," Hey   you   told   your   name   to   gautham   ah ? " 

"ham"," Haf   u   found   him ?   I   feel   so   stupid   da   v   cam   was   working . " 

"ham"," Oops .   4   got   that   bit . " 

"ham"," Are   you   this   much   buzy " 

"ham"," I   accidentally   deleted   the   message .   Resend   please . " 

"spam"," T - Mobile   customer   you   may   now   claim   your   FREE   CAMERA   PHONE   upgrade   &   a   pay   &   go   sim   card   for   your   loyalty .   Call   on   0845   021   3680. Offer   ends   28 thFeb . T & C ' s   apply " 

"ham"," Unless   it ' s   a   situation   where   YOU   GO   GURL   would   be   more   appropriate " 

"ham"," Hurt   me ...   Tease   me ...   Make   me   cry ...   But   in   the   end   of   my   life   when   i   die   plz   keep   one   rose   on   my   grave   and   say   STUPID   I   MISS   U ..   HAVE   A   NICE   DAY   BSLVYL " 

"ham"," I   cant   pick   the   phone   right   now .   Pls   send   a   message " 

